cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
1,7,32,逆天而行那些年,0,http://cdn.517w.com/uploadfile/2017/0901/20170901044744112.jpg,苗岭村落中诡异的人体自燃事件，源起百年前的传说？极地冰川中掩埋的二战研究所，神秘的图腾预示着什么？沙漠腹地下埋藏的远古文明有何玄机？千奇百怪，谜团纵横，非常事件，再度揭开。,4,第467话,小宇轩,1,1531576979,0,4.9363,55,703561524,33364,,
1,4796,31,总裁的契约情人,0,http://cdn.517w.com/uploadfile/2018/0930/thumb_20180930165442130.jpg,身世坎坷的孤女，为何会得到总裁青睐？冷面总裁有什么不为人知的过去？,2,大结局,猫蛋蛋工厂,1,1552553341,0,3.5333,56,5373398,33358,,
1,809,32,宜昌鬼事之诡道,0,http://cdn.517w.com/uploadfile/2017/0830/20170830035909910.jpg,蛇从革原著，神农架深处的神秘机构、地下溶洞的奇特生物、遍地娃娃鱼的大鲵村，殡仪馆的离奇遭遇…三峡地区发生的无数奇闻异事！作者新浪微博：小哥有肉,3,算沙篇10,NADA漫画工作室,1,1517328007,0,4.8451,57,62842281,32578,,
1,35,32,设计者,0,http://cdn.517w.com/uploadfile/2017/0830/20170830124433861.jpg,被拜金女友甩掉仅仅四小时之后，自己居然成了杀人凶手！以为完美抹去所有证据却还是被警察找上了家门，不行，为了病中的母亲，为了自己美好的前景，一定不能被抓住！一场赌上全部的赌局，开始了。,9,第405话,北京神奇未来,1,1525862944,0,4.7886,58,456307835,31215,,
1,2558,33,遇见20岁,0,http://cdn.517w.com/uploadfile/2017/0831/20170831024742609.jpg,外冷内热面瘫攻X阳光居家贤妻受的欢脱日常！,1,第96话 七夕节的故事,目八,2,1534728416,1,4.9139,59,257692935,30299,,
1,1456,32,僵尸器圣,0,http://cdn.517w.com/uploadfile/2017/1011/20171011051008508.jpg,苏醒的僵尸少年为了能重新复活，离开墓穴踏上旅途，却卷入一场大纷争之中……,0,168,蓝茄,1,1533866338,0,4.8523,61,191874810,29865,,
2,4626,31,道士，妖怪与偶像明星,,http://cdn.517w.com/uploadfile/2018/0711/thumb_20180711163308645.jpg,一直以羽族自称的璎珞认定自己的使命就是要让沉睡的凤凰苏醒过来重振羽族的辉煌，因此偷偷溜到凡间。但凡间早已变成了人妖鬼 共存的世界，就此结识了降妖师风清逸以及拥有超凡好运的凡人慕尘音。同时，在追寻神器过程中不谙世事的璎珞在阴差阳错之下“不小心 ”出道成为偶像明星，就这样，一场啼笑皆非轰轰烈烈人妖鬼仙的娱乐圈喜剧就此展开……,2,,五千两漫画工作室,,1536800408,0,4.7692,,11271860,9302340,,
2,3809,31,恶女千金,,http://cdn.517w.com/uploadfile/2018/0604/20180604100530164.jpg,不良少女的豪门生活，每周二，四，六更新,3,,轮椅酱,,1533376808,0,4.7475,,157426431,129801974,,
2,3662,32,暗黑童话,,http://cdn.517w.com/uploadfile/2017/0830/20170830110041247.jpg,黑暗血腥的纯爱故事。,1,,森羽千帆×画萸,,1517302232,1,4.5368,,20322946,15285119,,
2,3548,32,派件人,,http://cdn.517w.com/uploadfile/2018/0201/thumb_20180201184158277.jpg,讲述了穿行于各个世界派件的快递员的故事，而各个世界又被一种献祭生命获得力量的诅咒所侵染。在各个危机四伏的世界中主人公究竟又有怎样的命运……,2,,灵堂麦霸,,1525572781,1,4.8624,,56318255,37795512,,
2,1317,32,灵刃传说,,http://cdn.517w.com/uploadfile/2017/1102/20171102050605149.jpg,邹一从小被父母遗弃，因奴隶的身份经常遭受不公平的待遇和欺凌。目睹青梅竹马小晴的死，邹一失去了生存的希望，但却巧遇封印在灵刃中的刃灵，成为绝世高手。为了得到力量，邹一答应帮助刃灵解除封印，从此踏上了收集白灵刃的冒险之旅……,2,,D·W,,1519869704,0,4.8094,,203657199,92405402,,
